模型ID,public_id,名称,厂商,任务,关联端点,数量控制,比例,比例基线尺寸,分辨率档位,自定义尺寸,输出格式,参考图输入,选项字段,布尔字段,整数字段,数值字段,文本字段,系统提示词,官方必填参数,目录未暴露的官方参数,与官方默认值差异
fal-ai/gpt-image-1/edit-image,gpt-image-1/edit-image,OpenAI / GPT Image 1 Edit,openai,image-to-image,fal-ai/gpt-image-1/text-to-image,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）；input_fidelity：low/high,sync_mode,,,,,prompt、image_urls,,quality 本地默认 low（官方 auto）；quality 未开放选项 auto（定价裁剪）
fal-ai/gpt-image-1-mini,gpt-image-1-mini,OpenAI / GPT Image 1 Mini,openai,text-to-image,fal-ai/gpt-image-1-mini/edit,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）,sync_mode,,,,,prompt,,quality 本地默认 low（官方 auto）；quality 未开放选项 auto（定价裁剪）
fal-ai/gpt-image-1-mini/edit,gpt-image-1-mini/edit,OpenAI / GPT Image 1 Mini Edit,openai,image-to-image,fal-ai/gpt-image-1-mini,1~4 张（字段 num_images）,1:1、3:2、2:3；默认 1:1,1:1=1024x1024；3:2=1536x1024；2:3=1024x1536,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_urls,quality：low/medium/high（默认 low）；background：auto/transparent/opaque（默认 auto）,sync_mode,,,,,prompt、image_urls,,quality 本地默认 low（官方 auto）；quality 未开放选项 auto（定价裁剪）
fal-ai/patina/material,patina-material,Patina / Material,patina,text-to-image,fal-ai/patina,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png、webp；默认 png,,tiling_mode：both/horizontal/vertical（默认 both）,enable_prompt_expansion（默认 true）；enable_safety_checker（默认 false）,seed；num_inference_steps（1~8）；tile_size（32~256）；tile_stride（16~128）,strength（0~1）,,,prompt,"image_url(null|string)；maps(array(默认['basecolor', 'normal', 'roughness', 'metalness', 'height']))；mask_url(null|string)；upscale_factor(integer(0/2/4，默认0))",enable_safety_checker 本地默认 false（官方 true）
fal-ai/patina,patina-edit,Patina / Edit,patina,image-to-image,fal-ai/patina/material,1 张（不下发数量字段）,,,,,字段 output_format；jpeg、png、webp；默认 png,字段 image_url（最多 1 张）,,sync_mode（默认 false）；enable_safety_checker（默认 false）,seed,,,,image_url,"maps(array(默认['basecolor', 'normal', 'roughness', 'metalness', 'height']))",enable_safety_checker 本地默认 false（官方 true）
fal-ai/phota,phota,Phota / Phota,phota,text-to-image,fal-ai/phota/edit,1~4 张（字段 num_images）,字段 aspect_ratio；auto、1:1、16:9、4:3、3:4、9:16；默认 auto,,字段 resolution；1K、4K；默认 1K,,字段 output_format；jpeg、png；默认 jpeg,,,sync_mode（默认 false）,,,,,prompt,,
fal-ai/phota/edit,phota-edit,Phota / Edit,phota,image-to-image,fal-ai/phota,1~4 张（字段 num_images）,字段 aspect_ratio；auto、1:1、16:9、4:3、3:4、9:16；默认 auto,,字段 resolution；1K、4K；默认 1K,,字段 output_format；jpeg、png；默认 jpeg,字段 image_urls（最多 4 张）,,sync_mode（默认 false）,,,,,prompt、image_urls,profile_ids(array),
fal-ai/recraft/v2/text-to-image,recraft-v2-text-to-image,Recraft / V2,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,style：any/realistic_image/digital_illustration/vector_illustration/realistic_image/b_and_w/realistic_image/enterprise/realistic_image/hard_flash/realistic_image/hdr/realistic_image/motion_blur/realistic_image/natural_light/realistic_image/studio_portrait/digital_illustration/2d_art_poster/digital_illustration/2d_art_poster_2/digital_illustration/3d/digital_illustration/80s/digital_illustration/engraving_color/digital_illustration/glow/digital_illustration/grain/digital_illustration/hand_drawn/digital_illustration/hand_drawn_outline/digital_illustration/handmade_3d/digital_illustration/infantile_sketch/digital_illustration/kawaii/digital_illustration/pixel_art/digital_illustration/psychedelic/digital_illustration/seamless/digital_illustration/voxel/digital_illustration/watercolor/vector_illustration/cartoon/vector_illustration/doodle_line_art/vector_illustration/engraving/vector_illustration/flat_2/vector_illustration/kawaii/vector_illustration/line_art/vector_illustration/line_circuit/vector_illustration/linocut/vector_illustration/seamless（默认 realistic_image）,enable_safety_checker（默认 false）,,,,,prompt,colors(array(默认[]))；style_id(null|string),
fal-ai/recraft/v3/text-to-image,recraft-v3-text-to-image,Recraft / V3,recraft,text-to-image,fal-ai/recraft/v3/image-to-image,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,style：any/realistic_image/digital_illustration/vector_illustration/realistic_image/b_and_w/realistic_image/hard_flash/realistic_image/hdr/realistic_image/natural_light/realistic_image/studio_portrait/realistic_image/enterprise/realistic_image/motion_blur/realistic_image/evening_light/realistic_image/faded_nostalgia/realistic_image/forest_life/realistic_image/mystic_naturalism/realistic_image/natural_tones/realistic_image/organic_calm/realistic_image/real_life_glow/realistic_image/retro_realism/realistic_image/retro_snapshot/realistic_image/urban_drama/realistic_image/village_realism/realistic_image/warm_folk/digital_illustration/pixel_art/digital_illustration/hand_drawn/digital_illustration/grain/digital_illustration/infantile_sketch/digital_illustration/2d_art_poster/digital_illustration/handmade_3d/digital_illustration/hand_drawn_outline/digital_illustration/engraving_color/digital_illustration/2d_art_poster_2/digital_illustration/antiquarian/digital_illustration/bold_fantasy/digital_illustration/child_book/digital_illustration/child_books/digital_illustration/cover/digital_illustration/crosshatch/digital_illustration/digital_engraving/digital_illustration/expressionism/digital_illustration/freehand_details/digital_illustration/grain_20/digital_illustration/graphic_intensity/digital_illustration/hard_comics/digital_illustration/long_shadow/digital_illustration/modern_folk/digital_illustration/multicolor/digital_illustration/neon_calm/digital_illustration/noir/digital_illustration/nostalgic_pastel/digital_illustration/outline_details/digital_illustration/pastel_gradient/digital_illustration/pastel_sketch/digital_illustration/pop_art/digital_illustration/pop_renaissance/digital_illustration/street_art/digital_illustration/tablet_sketch/digital_illustration/urban_glow/digital_illustration/urban_sketching/digital_illustration/vanilla_dreams/digital_illustration/young_adult_book/digital_illustration/young_adult_book_2/vector_illustration/bold_stroke/vector_illustration/chemistry/vector_illustration/colored_stencil/vector_illustration/contour_pop_art/vector_illustration/cosmics/vector_illustration/cutout/vector_illustration/depressive/vector_illustration/editorial/vector_illustration/emotional_flat/vector_illustration/infographical/vector_illustration/marker_outline/vector_illustration/mosaic/vector_illustration/naivector/vector_illustration/roundish_flat/vector_illustration/segmented_colors/vector_illustration/sharp_contrast/vector_illustration/thin/vector_illustration/vector_photo/vector_illustration/vivid_shapes/vector_illustration/engraving/vector_illustration/line_art/vector_illustration/line_circuit/vector_illustration/linocut（默认 realistic_image）,enable_safety_checker（默认 false）,,,,,prompt,colors(array(默认[]))；style_id(null|string),
fal-ai/recraft/v3/image-to-image,recraft-v3-image-to-image,Recraft / V3 Edit,recraft,image-to-image,fal-ai/recraft/v3/text-to-image,1 张（不下发数量字段）,,,,,,字段 image_url（最多 1 张）,style：any/realistic_image/digital_illustration/vector_illustration/realistic_image/b_and_w/realistic_image/hard_flash/realistic_image/hdr/realistic_image/natural_light/realistic_image/studio_portrait/realistic_image/enterprise/realistic_image/motion_blur/realistic_image/evening_light/realistic_image/faded_nostalgia/realistic_image/forest_life/realistic_image/mystic_naturalism/realistic_image/natural_tones/realistic_image/organic_calm/realistic_image/real_life_glow/realistic_image/retro_realism/realistic_image/retro_snapshot/realistic_image/urban_drama/realistic_image/village_realism/realistic_image/warm_folk/digital_illustration/pixel_art/digital_illustration/hand_drawn/digital_illustration/grain/digital_illustration/infantile_sketch/digital_illustration/2d_art_poster/digital_illustration/handmade_3d/digital_illustration/hand_drawn_outline/digital_illustration/engraving_color/digital_illustration/2d_art_poster_2/digital_illustration/antiquarian/digital_illustration/bold_fantasy/digital_illustration/child_book/digital_illustration/child_books/digital_illustration/cover/digital_illustration/crosshatch/digital_illustration/digital_engraving/digital_illustration/expressionism/digital_illustration/freehand_details/digital_illustration/grain_20/digital_illustration/graphic_intensity/digital_illustration/hard_comics/digital_illustration/long_shadow/digital_illustration/modern_folk/digital_illustration/multicolor/digital_illustration/neon_calm/digital_illustration/noir/digital_illustration/nostalgic_pastel/digital_illustration/outline_details/digital_illustration/pastel_gradient/digital_illustration/pastel_sketch/digital_illustration/pop_art/digital_illustration/pop_renaissance/digital_illustration/street_art/digital_illustration/tablet_sketch/digital_illustration/urban_glow/digital_illustration/urban_sketching/digital_illustration/vanilla_dreams/digital_illustration/young_adult_book/digital_illustration/young_adult_book_2/vector_illustration/bold_stroke/vector_illustration/chemistry/vector_illustration/colored_stencil/vector_illustration/contour_pop_art/vector_illustration/cosmics/vector_illustration/cutout/vector_illustration/depressive/vector_illustration/editorial/vector_illustration/emotional_flat/vector_illustration/infographical/vector_illustration/marker_outline/vector_illustration/mosaic/vector_illustration/naivector/vector_illustration/roundish_flat/vector_illustration/segmented_colors/vector_illustration/sharp_contrast/vector_illustration/thin/vector_illustration/vector_photo/vector_illustration/vivid_shapes/vector_illustration/engraving/vector_illustration/line_art/vector_illustration/line_circuit/vector_illustration/linocut（默认 realistic_image）,sync_mode（默认 false）,,strength（0~1）,negative_prompt,,prompt、image_url,colors(array(默认[]))；style_id(null|string),
fal-ai/recraft/v4/pro/text-to-image,recraft-v4-pro-text-to-image,Recraft / V4 Pro,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4/text-to-image,recraft-v4-text-to-image,Recraft / V4,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/pro/text-to-image,recraft-v4.1-pro-text-to-image,Recraft / V4.1 Pro,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/text-to-image,recraft-v4.1-text-to-image,Recraft / V4.1,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/utility/pro/text-to-image,recraft-v4.1-utility-pro-text-to-image,Recraft / V4.1 Utility Pro,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/utility/text-to-image,recraft-v4.1-utility-text-to-image,Recraft / V4.1 Utility,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4/pro/text-to-vector,recraft-v4-pro-text-to-vector,Recraft / V4 Pro Text to Vector,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4/text-to-vector,recraft-v4-text-to-vector,Recraft / V4 Text to Vector,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/pro/text-to-vector,recraft-v4.1-pro-text-to-vector,Recraft / V4.1 Pro Text to Vector,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/recraft/v4.1/text-to-vector,recraft-v4.1-text-to-vector,Recraft / V4.1 Text to Vector,recraft,text-to-image,,1 张（不下发数量字段）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）,,,,,prompt,background_color(null|object)；colors(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
reve/2.1/text-to-image,reve-2.1-text-to-image,Reve / 2.1,reve,text-to-image,reve/2.1/edit,1~4 张（字段 num_images）,字段 aspect_ratio；4:1、3:1、21:9、2:1、17:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、1:2、1:3、1:4、auto；默认 auto,,,,字段 output_format；jpeg、png、webp；默认 png,,,sync_mode（默认 false）,,,,,prompt,,
reve/2.1/edit,reve-2.1-edit,Reve / 2.1 Edit,reve,image-to-image,reve/2.1/text-to-image,1~4 张（字段 num_images）,字段 aspect_ratio；4:1、3:1、21:9、2:1、17:9、16:9、3:2、4:3、5:4、1:1、4:5、3:4、2:3、9:16、1:2、1:3、1:4、auto；默认 auto,,,,字段 output_format；png、jpeg、webp；默认 png,字段 image_url（最多 1 张）,,sync_mode（默认 false）,,,,,prompt、image_url,,
rundiffusion-fal/juggernaut-flux/base,rundiffusion-fal-juggernaut-flux-base,Rundiffusion / Juggernaut Flux Base,rundiffusion,text-to-image,rundiffusion-fal/juggernaut-flux/base/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
rundiffusion-fal/juggernaut-flux/base/image-to-image,rundiffusion-fal-juggernaut-flux-base-image-to-image,Rundiffusion / Juggernaut Flux Base Edit,rundiffusion,image-to-image,rundiffusion-fal/juggernaut-flux/base,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 png,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（10~50）,guidance_scale（1~20）；strength（0.01~1）,,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
rundiffusion-fal/juggernaut-flux/lightning,rundiffusion-fal-juggernaut-flux-lightning,Rundiffusion / Juggernaut Flux Lightning,rundiffusion,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~12）,,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
rundiffusion-fal/juggernaut-flux/pro,rundiffusion-fal-juggernaut-flux-pro,Rundiffusion / Juggernaut Flux Pro,rundiffusion,text-to-image,rundiffusion-fal/juggernaut-flux/pro/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
rundiffusion-fal/juggernaut-flux/pro/image-to-image,rundiffusion-fal-juggernaut-flux-pro-image-to-image,Rundiffusion / Juggernaut Flux Pro Edit,rundiffusion,image-to-image,rundiffusion-fal/juggernaut-flux/pro,1~4 张（字段 num_images）,,,,,字段 output_format；jpeg、png；默认 png,字段 image_url（最多 1 张）,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（10~50）,guidance_scale（1~20）；strength（0.01~1）,,,prompt、image_url,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-cascade,stable-cascade,Stability AI / Stable Cascade,stability,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；first_stage_steps（4~40）；second_stage_steps（4~24）,guidance_scale（0~20）；second_stage_guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-cascade/sote-diffusion,stable-cascade-sote-diffusion,Stability AI / Stable Cascade Sote Diffusion,stability,text-to-image,,1~4 张（字段 num_images）,,,,字段 image_size；宽 256~2048，高 256~2048，≤4.1943MP,,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；first_stage_steps（4~50）；second_stage_steps（4~24）,guidance_scale（0~20）；second_stage_guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-diffusion-v15,stable-diffusion-v15,Stability AI / Stable Diffusion V1.5,stability,text-to-image,,1~8 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,format：jpeg/png（默认 jpeg）；safety_checker_version：v1/v2（默认 v1）,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,embeddings(array(默认[]))；expand_prompt(boolean(默认False))；loras(array(默认[]))；request_id(string(默认)),enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-diffusion-v3-medium,stable-diffusion-v3-medium,Stability AI / Stable Diffusion V3 Medium,stability,text-to-image,fal-ai/stable-diffusion-v3-medium/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,,,prompt_expansion（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,prompt_expansion 本地默认 true（官方 false）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-diffusion-v3-medium/image-to-image,stable-diffusion-v3-medium-image-to-image,Stability AI / Stable Diffusion V3 Medium Edit,stability,image-to-image,fal-ai/stable-diffusion-v3-medium,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,,字段 image_url（最多 1 张）,,prompt_expansion（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）；strength（0.01~1）,negative_prompt,,prompt、image_url,,prompt_expansion 本地默认 true（官方 false）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-diffusion-v35-medium,stable-diffusion-v35-medium,Stability AI / Stable Diffusion V3.5 Medium,stability,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,auto_fix（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/stable-diffusion-v35-large,stable-diffusion-v35-large,Stability AI / Stable Diffusion V3.5 Large,stability,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,controlnet(object)；ip_adapter(null|object)；loras(array(默认[])),enable_safety_checker 本地默认 false（官方 true）
fal-ai/hunyuan-image/v2.1/text-to-image,hunyuan-image-v2.1-text-to-image,Tencent / Hunyuan Image V2.1,tencent,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,use_reprompt（默认 true）；use_refiner（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,negative_prompt,,prompt,,use_refiner 本地默认 true（官方 false）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/hunyuan-image/v3/text-to-image,hunyuan-image-v3-text-to-image,Tencent / Hunyuan Image V3,tencent,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_prompt_expansion（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（1~20）,negative_prompt,,prompt,,enable_prompt_expansion 本地默认 true（官方 false）；enable_safety_checker 本地默认 false（官方 true）
fal-ai/hunyuan-image/v3/instruct/text-to-image,hunyuan-image-v3-instruct-text-to-image,Tencent / Hunyuan Image V3 Instruct,tencent,text-to-image,fal-ai/hunyuan-image/v3/instruct/edit,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9、auto；默认 auto,auto=auto；1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,,,enable_prompt_expansion（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed,guidance_scale（2~20）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/hunyuan-image/v3/instruct/edit,hunyuan-image-v3-instruct-edit,Tencent / Hunyuan Image V3 Instruct Edit,tencent,image-to-image,fal-ai/hunyuan-image/v3/instruct/text-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9、auto；默认 auto,auto=auto；1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 png,字段 image_urls（最多 4 张）,,enable_prompt_expansion（默认 true）；enable_safety_checker（默认 false）；sync_mode（默认 false）,seed,guidance_scale（2~20）,,,prompt、image_urls,,enable_safety_checker 本地默认 false（官方 true）
xai/grok-imagine-image/quality/text-to-image,grok-imagine-image-pro,xAI / Grok Imagine Pro,xai,text-to-image,xai/grok-imagine-image/quality/edit,1~4 张（字段 num_images）,字段 aspect_ratio；2:1、20:9、19.5:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:19.5、9:20、1:2；默认 1:1,,字段 resolution；1k、2k；默认 1k,,字段 output_format；jpeg、png、webp；默认 jpeg,,,sync_mode,,,,,prompt,,
xai/grok-imagine-image/quality/edit,grok-imagine-image-pro/edit,xAI / Grok Imagine Pro Edit,xai,image-to-image,xai/grok-imagine-image/quality/text-to-image,1~4 张（字段 num_images）,字段 aspect_ratio；auto、2:1、20:9、19.5:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:19.5、9:20、1:2；默认 auto,,字段 resolution；1k、2k；默认 1k,,字段 output_format；jpeg、png、webp；默认 jpeg,字段 image_urls（最多 3 张）,,sync_mode,,,,,prompt,,
xai/grok-imagine-image,grok-imagine-image,xAI / Grok Imagine,xai,text-to-image,xai/grok-imagine-image/edit,1~4 张（字段 num_images）,字段 aspect_ratio；2:1、20:9、19.5:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:19.5、9:20、1:2；默认 1:1,,字段 resolution；1k、2k；默认 1k,,字段 output_format；jpeg、png、webp；默认 jpeg,,,sync_mode,,,,,prompt,,
xai/grok-imagine-image/edit,grok-imagine-image/edit,xAI / Grok Imagine Edit,xai,image-to-image,xai/grok-imagine-image,1~4 张（字段 num_images）,字段 aspect_ratio；auto、2:1、20:9、19.5:9、16:9、4:3、3:2、1:1、2:3、3:4、9:16、9:19.5、9:20、1:2；默认 auto,,字段 resolution；1k、2k；默认 1k,,字段 output_format；jpeg、png、webp；默认 jpeg,字段 image_urls（最多 3 张）,,sync_mode,,,,,prompt,,
fal-ai/cogview4,cogview4,Zhipu AI / CogView4,zhipu,text-to-image,,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 4:3,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode（默认 false）,seed；num_inference_steps（1~50）,guidance_scale（0~20）,negative_prompt,,prompt,,enable_safety_checker 本地默认 false（官方 true）
fal-ai/glm-image,glm-image,Zhipu AI / GLM Image,zhipu,text-to-image,fal-ai/glm-image/image-to-image,1~4 张（字段 num_images）,1:1、3:4、9:16、4:3、16:9；默认 1:1,1:1=1024x1024；3:4=768x1024；9:16=720x1280；4:3=1024x768；16:9=1280x720,,字段 image_size,字段 output_format；jpeg、png；默认 jpeg,,,enable_safety_checker（默认 false）；sync_mode（默认 false）；enable_prompt_expansion（默认 true）,seed；num_inference_steps（10~100）,guidance_scale（1~10）,,,prompt,,enable_safety_checker 本地默认 false（官方 true）；enable_prompt_expansion 本地默认 true（官方 false）
